week_start_date,region,brand,product_family,sku,product_name,units_sold,sell_through_target,sell_through_vs_target_pct,avg_street_price_usd,map_price_usd,map_compliant,below_map_count,primary_retailers_checked
2025-09-22,NA,HP,Smart Tank,5101,HP Smart Tank 5101,1880,1900,-1.1,199.99,,TRUE,0,"Amazon,Walmart,Target"
2025-09-22,NA,HP,Smart Tank,6001,HP Smart Tank 6001,1705,1750,-2.6,219.99,,TRUE,0,"Amazon,Walmart,BestBuy"
2025-09-22,NA,HP,Smart Tank,7001,HP Smart Tank 7001,1480,1550,-4.5,279.99,,TRUE,0,"Amazon,Walmart,Staples"
2025-09-22,NA,HP,Smart Tank,7602,HP Smart Tank 7602,1120,1100,1.8,329.99,,TRUE,0,"Amazon,BestBuy,Costco"
2025-09-22,NA,HP,Ink Bottle,HP-31-BK,HP 31 Black Ink Bottle,11800,12000,-1.7,17.99,17.99,TRUE,0,"Amazon,Walmart,Staples"
2025-09-22,NA,HP,Ink Bottle,HP-32-C,HP 32 Cyan Ink Bottle,10100,10200,-1.0,18.49,18.99,FALSE,1,"Amazon,eBay"
2025-09-22,NA,HP,Ink Bottle,HP-32-M,HP 32 Magenta Ink Bottle,9900,10000,-1.0,18.99,18.99,TRUE,0,"Amazon,Walmart"
2025-09-22,NA,HP,Ink Bottle,HP-32-Y,HP 32 Yellow Ink Bottle,9600,9800,-2.0,18.75,18.99,FALSE,2,"Amazon,eBay"
2025-09-29,NA,HP,Smart Tank,5101,HP Smart Tank 5101,1950,1900,2.6,199.99,,TRUE,0,"Amazon,Walmart,Target"
2025-09-29,NA,HP,Smart Tank,6001,HP Smart Tank 6001,1800,1750,2.9,219.99,,TRUE,0,"Amazon,Walmart,BestBuy"
2025-09-29,NA,HP,Ink Bottle,HP-31-BK,HP 31 Black Ink Bottle,12100,12000,0.8,17.49,17.99,FALSE,1,"Amazon,eBay"
2025-10-06,NA,HP,Smart Tank,5101,HP Smart Tank 5101,2050,1900,7.9,199.99,,TRUE,0,"Amazon,Walmart,Target"
2025-10-06,NA,HP,Smart Tank,6001,HP Smart Tank 6001,1820,1750,4.0,219.99,,TRUE,0,"Amazon,Walmart,BestBuy"
2025-10-06,NA,HP,Ink Bottle,HP-32-Y,HP 32 Yellow Ink Bottle,9950,10000,-0.5,18.75,18.99,FALSE,2,"Amazon,eBay"
