productAsin,ratingScore,reviewTitle,reviewDescription,date,country,variant,isVerified,position,reviewUrl
B0BN1XT6TF,1,Useless HP printer 589. Never buy,Useless printer.,2026-01-10,India,Colour: Moab Color,true,1,https://www.amazon.in/gp/customer-reviews/RJVPXZISY0210
B0BN1XT6TF,1,!!!! NUMBER ONE FRAUD BRAND IS HP IN THE WORLD !!!!,"hi guys don't buy HP printer, because HP brand is number one fraud in the world . I am suffering from 20 years .",2026-01-07,India,Colour: Moab Color,false,2,https://www.amazon.in/gp/customer-reviews/R1JVU3K4BT7583
B0BN1XT6TF,3,Problem with back to back printing,"This does not support auto back to back printing. If you want to print, it will print odd pages and then manually take out paper and reinsert in printer.",2026-01-05,India,Colour: Moab Color,true,3,https://www.amazon.in/gp/customer-reviews/RLZDPYTQY3JYP
B0BN1XT6TF,4,Pros and cons,"Pros: Uninterrupted connection, solid build, high quality print, works well with both Mac and Android. Scanning is fast too. Ink consumption is impressively low. Cons : Noise is high Printing speed can be improved Overall the printer is good for students.",2026-01-03,India,Colour: Moab Color,true,4,https://www.amazon.in/gp/customer-reviews/R2EFM0QVBNZ458
B0BN1XT6TF,1,No support from HP,Please don’t purchase this printer… I got defective product and I’m unable return as it has to checked by service centre first and there is no response from HP service center,2026-01-03,India,Colour: Moab Color,true,5,https://www.amazon.in/gp/customer-reviews/R1EXQROQYRUW4X
B0BN1XT6TF,1,printer not working,printer part is defective and printer is not working what I can do please replace my printer as all light blinking,2026-01-02,India,Colour: Moab Color,true,6,https://www.amazon.in/gp/customer-reviews/R1T1EMNB8EOJTE
B0BN1XT6TF,5,Very good printer,Bahut hi badhiya printer Hai iske alava Kisi printer per mat jaiega agar aapko price theek lag raha hai to iska ek bar mechanism samajh lijiyega bahut hi badhiya printer hai,2026-01-02,India,Colour: Moab Color,true,7,https://www.amazon.in/gp/customer-reviews/R3MGM0W5X3Q4FI
B0BN1XT6TF,5,Nyc,Nyc..... easy to set up and install . Nyc printing . Day 2 is very early to comment . So i will write further review after few days till now everything is buttery smooth.,2026-01-01,India,Colour: Moab Color,true,8,https://www.amazon.in/gp/customer-reviews/R28RSHGS398YO0
B0BN1XT6TF,5,Good one,Easy n faster printer. Hassle free installation and printing is Smooth.,2026-01-01,India,Colour: Moab Color,true,9,https://www.amazon.in/gp/customer-reviews/R1HW66BKFE8FWT
B0BN1XT6TF,5,Good,Excellent quality and cost effective,2025-12-27,India,Colour: Moab Color,true,10,https://www.amazon.in/gp/customer-reviews/R2WA2HKKRNQVQU
